Process Description,Catalog,Schema,Table Name,Column Name,Rule Description,Comments,Classification Name,Category,Datasource Description
x,x,committee.base.attitude.shoot,leather.west.illegal.resort,landscape.cup.external.emotion,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,leather.west.illegal.resort,enthusiasm.note.preparation.forever,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,leather.west.illegal.resort,current.run.doubt.sister,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,leather.west.illegal.resort,classic.cry.document.tension,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,skill.examination.flow.blow,park.presentation.bill.tradition,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,skill.examination.flow.blow,average.mud.second.number,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,skill.examination.flow.blow,leadership.difference.earth.police,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,skill.examination.flow.blow,carry.promotion.question.surgery,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,skill.examination.flow.blow,context.horse.target.mail,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,skill.examination.flow.blow,information.wish.award.cost,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,skill.examination.flow.blow,knowledge.player.offer.detail,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,skill.examination.flow.blow,service.storage.garbage.cost,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,skill.examination.flow.blow,ask.inspector.teaching.back,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,skill.examination.flow.blow,royal.industry.hello.draw,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,skill.examination.flow.blow,resident.strategy.challenge.surround,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,skill.examination.flow.blow,injury.kiss.chair.day,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,skill.examination.flow.blow,poet.conversation.stop.suit,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,skill.examination.flow.blow,green.back.roll.reading,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,skill.examination.flow.blow,stress.employment.weight.confusion,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,skill.examination.flow.blow,swim.knowledge.reflection.current,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,skill.examination.flow.blow,increase.sound.wear.employee,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,skill.examination.flow.blow,landscape.cup.external.emotion,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,skill.examination.flow.blow,enthusiasm.note.preparation.forever,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,skill.examination.flow.blow,current.run.doubt.sister,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,skill.examination.flow.blow,classic.cry.document.tension,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,sail.cook.mess.pressure,wedding.chair.illegal.frame,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,sail.cook.mess.pressure,royal.industry.hello.draw,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,sail.cook.mess.pressure,poet.conversation.stop.suit,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,sail.cook.mess.pressure,green.back.roll.reading,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,sail.cook.mess.pressure,stress.employment.weight.confusion,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,focus.investment.age.bonus,wedding.chair.illegal.frame,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,focus.investment.age.bonus,royal.industry.hello.draw,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,focus.investment.age.bonus,poet.conversation.stop.suit,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,focus.investment.age.bonus,green.back.roll.reading,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,focus.investment.age.bonus,stress.employment.weight.confusion,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,single.sick.address.bag,ask.inspector.teaching.back,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,single.sick.address.bag,total.practice.cat.working,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,single.sick.address.bag,landscape.cup.external.emotion,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,single.sick.address.bag,enthusiasm.note.preparation.forever,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,single.sick.address.bag,current.run.doubt.sister,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,single.sick.address.bag,classic.cry.document.tension,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,communication.entertainment.regret.purchase,ask.inspector.teaching.back,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,communication.entertainment.regret.purchase,relationship.appointment.lay.trust,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,communication.entertainment.regret.purchase,landscape.cup.external.emotion,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,communication.entertainment.regret.purchase,enthusiasm.note.preparation.forever,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,communication.entertainment.regret.purchase,current.run.doubt.sister,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,communication.entertainment.regret.purchase,classic.cry.document.tension,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,election.can.commercial.piece,cow.round.preference.aspect,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,election.can.commercial.piece,baseball.visual.influence.hope,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,election.can.commercial.piece,development.report.storm.diet,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,election.can.commercial.piece,total.practice.cat.working,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,election.can.commercial.piece,recommendation.stage.variety.tale,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,election.can.commercial.piece,landscape.cup.external.emotion,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,election.can.commercial.piece,enthusiasm.note.preparation.forever,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,election.can.commercial.piece,current.run.doubt.sister,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,election.can.commercial.piece,classic.cry.document.tension,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,note.assist.housing.usual,cow.round.preference.aspect,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,note.assist.housing.usual,baseball.visual.influence.hope,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,note.assist.housing.usual,development.report.storm.diet,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,note.assist.housing.usual,total.practice.cat.working,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,note.assist.housing.usual,recommendation.stage.variety.tale,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,note.assist.housing.usual,landscape.cup.external.emotion,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,note.assist.housing.usual,enthusiasm.note.preparation.forever,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,note.assist.housing.usual,current.run.doubt.sister,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,note.assist.housing.usual,classic.cry.document.tension,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,priest.excuse.shirt.exam,cow.round.preference.aspect,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,communication.entertainment.regret.purchase,classic.cry.document.tension,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,election.can.commercial.piece,cow.round.preference.aspect,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,election.can.commercial.piece,baseball.visual.influence.hope,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,election.can.commercial.piece,development.report.storm.diet,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,election.can.commercial.piece,total.practice.cat.working,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,election.can.commercial.piece,recommendation.stage.variety.tale,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,election.can.commercial.piece,landscape.cup.external.emotion,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,election.can.commercial.piece,enthusiasm.note.preparation.forever,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,election.can.commercial.piece,current.run.doubt.sister,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,election.can.commercial.piece,classic.cry.document.tension,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,note.assist.housing.usual,cow.round.preference.aspect,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,note.assist.housing.usual,baseball.visual.influence.hope,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,note.assist.housing.usual,development.report.storm.diet,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,note.assist.housing.usual,total.practice.cat.working,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,note.assist.housing.usual,recommendation.stage.variety.tale,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,note.assist.housing.usual,landscape.cup.external.emotion,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,note.assist.housing.usual,enthusiasm.note.preparation.forever,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,note.assist.housing.usual,current.run.doubt.sister,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,note.assist.housing.usual,classic.cry.document.tension,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
x,x,committee.base.attitude.shoot,priest.excuse.shirt.exam,cow.round.preference.aspect,x,x,creative.traffic.sector.fat,system.issue.steak.boyfriend,category:place:definition:golf:major
